"288","flipX","0.015015"
"289","flipY","0.028478"
"290","encodeBytes","0.524050"
"291","grayscale_avg","0.002046"
"292","grayscale_lums","0.002188"
"293","colorMasks","0.020013"
"294","encodeMessages","0.000018"
"295","decodeMessages","0.000009"
"296","std_convolve_clamp_to_0","0.016787"
"297","std_convolve_clamp_to_border","0.032235"
"298","flipX","0.022669"
"299","flipY","0.026861"
"300","encodeBytes","0.433075"
"301","grayscale_avg","0.002768"
"302","grayscale_lums","0.003499"
"303","colorMasks","0.012154"
"304","encodeMessages","0.000038"
"305","decodeMessages","0.000026"
"306","std_convolve_clamp_to_0","0.014830"
"307","std_convolve_clamp_to_border","0.014315"
"308","flipX","0.015864"
"309","flipY","0.016810"
"310","encodeBytes","0.521358"
"311","grayscale_avg","0.002314"
"312","grayscale_lums","0.001986"
"313","colorMasks","0.011190"
"314","encodeMessages","0.000016"
"315","decodeMessages","0.000007"
"316","std_convolve_clamp_to_0","0.010638"
"317","std_convolve_clamp_to_border","0.022808"
"318","flipX","0.020174"
"319","flipY","0.012855"
"320","encodeBytes","0.441288"
"321","grayscale_avg","0.002394"
"322","grayscale_lums","0.002065"
"323","colorMasks","0.011262"
"324","encodeMessages","0.000011"
"325","decodeMessages","0.000006"
"326","std_convolve_clamp_to_0","0.010181"
"327","std_convolve_clamp_to_border","0.012428"
"328","flipX","0.025488"
"329","flipY","0.014221"
"330","encodeBytes","0.471736"
"331","grayscale_avg","0.002489"
"332","grayscale_lums","0.003302"
"333","colorMasks","0.027504"
"334","encodeMessages","0.000018"
"335","decodeMessages","0.000010"
"336","std_convolve_clamp_to_0","0.018563"
"337","std_convolve_clamp_to_border","0.013796"
"338","flipX","0.013366"
"339","flipY","0.026080"
"340","encodeBytes","0.527165"
"341","grayscale_avg","0.002070"
"342","grayscale_lums","0.002142"
"343","colorMasks","0.010877"
"344","encodeMessages","0.000009"
"345","decodeMessages","0.000006"
"346","std_convolve_clamp_to_0","0.009892"
"347","std_convolve_clamp_to_border","0.009723"
"348","flipX","0.012618"
"349","flipY","0.021600"
"350","encodeBytes","0.482325"
"351","grayscale_avg","0.002368"
"352","grayscale_lums","0.002452"
"353","colorMasks","0.016316"
"354","encodeMessages","0.000017"
"355","decodeMessages","0.000024"
"356","std_convolve_clamp_to_0","0.022904"
"357","std_convolve_clamp_to_border","0.014703"
"358","flipX","0.020310"
"359","flipY","0.012365"
"360","encodeBytes","0.458381"
"361","grayscale_avg","0.004336"
"362","grayscale_lums","0.002028"
"363","colorMasks","0.013472"
"364","encodeMessages","0.000011"
"365","decodeMessages","0.000005"
"366","std_convolve_clamp_to_0","0.011832"
"367","std_convolve_clamp_to_border","0.012708"
"368","flipX","0.016347"
"369","flipY","0.021283"
"370","encodeBytes","0.450932"
"371","grayscale_avg","0.002497"
"372","grayscale_lums","0.002113"
"373","colorMasks","0.011174"
"374","encodeMessages","0.000010"
"375","decodeMessages","0.000006"
"376","std_convolve_clamp_to_0","0.009520"
"377","std_convolve_clamp_to_border","0.010901"
"378","flipX","0.013328"
"379","flipY","0.032423"
"380","encodeBytes","0.440518"
"381","grayscale_avg","0.002821"
"382","grayscale_lums","0.001997"
"383","colorMasks","0.011510"
"384","encodeMessages","0.000011"
"385","decodeMessages","0.000006"
"386","std_convolve_clamp_to_0","0.011538"
"387","std_convolve_clamp_to_border","0.024303"
"388","flipX","0.020499"
"389","flipY","0.028753"
"390","encodeBytes","0.519479"
"391","grayscale_avg","0.002210"
"392","grayscale_lums","0.003294"
"393","colorMasks","0.011706"
"394","encodeMessages","0.000008"
"395","decodeMessages","0.000006"
"396","std_convolve_clamp_to_0","0.023607"
"397","std_convolve_clamp_to_border","0.020194"
"398","flipX","0.011071"
"399","flipY","0.024878"
"400","encodeBytes","0.462839"
"401","grayscale_avg","0.002052"
"402","grayscale_lums","0.002060"
"403","colorMasks","0.011547"
"404","encodeMessages","0.000008"
"405","decodeMessages","0.000006"
"406","std_convolve_clamp_to_0","0.009712"
"407","std_convolve_clamp_to_border","0.028491"
"408","flipX","0.023676"
"409","flipY","0.016853"
"410","encodeBytes","0.448855"
"411","grayscale_avg","0.003086"
"412","grayscale_lums","0.006797"
"413","colorMasks","0.026587"
"414","encodeMessages","0.000009"
"415","decodeMessages","0.000005"
"416","std_convolve_clamp_to_0","0.011161"
"417","std_convolve_clamp_to_border","0.016795"
"418","flipX","0.016960"
"419","flipY","0.027308"
"420","encodeBytes","0.418467"
"421","grayscale_avg","0.002731"
"422","grayscale_lums","0.002104"
"423","colorMasks","0.011320"
"424","encodeMessages","0.000014"
"425","decodeMessages","0.000007"
"426","std_convolve_clamp_to_0","0.013116"
"427","std_convolve_clamp_to_border","0.010008"
"428","flipX","0.015593"
"429","flipY","0.013515"
"430","encodeBytes","0.468897"
"431","grayscale_avg","0.002957"
"432","grayscale_lums","0.002002"
"433","colorMasks","0.011425"
"434","encodeMessages","0.000014"
"435","decodeMessages","0.000005"
"436","std_convolve_clamp_to_0","0.018211"
"437","std_convolve_clamp_to_border","0.022816"
"438","flipX","0.038103"
"439","flipY","0.014259"
"440","encodeBytes","0.466117"
"441","grayscale_avg","0.002186"
"442","grayscale_lums","0.002056"
"443","colorMasks","0.013467"
"444","encodeMessages","0.000017"
"445","decodeMessages","0.000015"
"446","std_convolve_clamp_to_0","0.022855"
"447","std_convolve_clamp_to_border","0.015171"
"448","flipX","0.021030"
"449","flipY","0.013343"
"450","encodeBytes","0.496070"
"451","grayscale_avg","0.002208"
"452","grayscale_lums","0.002094"
"453","colorMasks","0.011156"
"454","encodeMessages","0.000009"
"455","decodeMessages","0.000006"
"456","std_convolve_clamp_to_0","0.012884"
"457","std_convolve_clamp_to_border","0.013226"
"458","flipX","0.016128"
"459","flipY","0.024509"
"460","encodeBytes","0.455345"
"461","grayscale_avg","0.003240"
"462","grayscale_lums","0.002359"
"463","colorMasks","0.013339"
"464","encodeMessages","0.000029"
"465","decodeMessages","0.000056"
"466","std_convolve_clamp_to_0","0.024667"
"467","std_convolve_clamp_to_border","0.018199"
"468","flipX","0.025702"
"469","flipY","0.037358"
"470","encodeBytes","0.508559"
"471","grayscale_avg","0.002504"
"472","grayscale_lums","0.002161"
"473","colorMasks","0.010944"
"474","encodeMessages","0.000009"
"475","decodeMessages","0.000117"
"476","std_convolve_clamp_to_0","0.020001"
"477","std_convolve_clamp_to_border","0.015500"
"478","flipX","0.017492"
"479","flipY","0.018025"
"480","encodeBytes","0.453658"
"481","grayscale_avg","0.004070"
"482","grayscale_lums","0.002521"
"483","colorMasks","0.027430"
"484","encodeMessages","0.000011"
"485","decodeMessages","0.000007"
"486","std_convolve_clamp_to_0","0.025665"
"487","std_convolve_clamp_to_border","0.019072"
"488","flipX","0.029211"
"489","flipY","0.028151"
"490","encodeBytes","0.452714"
"491","grayscale_avg","0.002832"
"492","grayscale_lums","0.002268"
"493","colorMasks","0.013632"
"494","encodeMessages","0.000014"
"495","decodeMessages","0.000007"
"496","std_convolve_clamp_to_0","0.010741"
"497","std_convolve_clamp_to_border","0.013675"
"498","flipX","0.013998"
"499","flipY","0.022359"
"500","encodeBytes","0.521510"
